source_id,year,mem_type,mem_fee,paid_by,gender,postal_code,pc1,country,area,age,club,men_section,women_mixed_section,sectiontotal,school,player,coach,official,referee,umpire,ref_l1,ref_l2,ref_l3,ref_l4,ump_l2,ump_l3,ump_l4,ukcc_l1,ukcc_l2,pcs,scs,ish_1,ish_2,first_aid
IMP-8938898,2016,Adult,25,My Club Will Pay,AB106AL,AB10,Scotland,UK,31,Aberdeen City,,1,1,,1,,,,,,,,,,,,,,,,,,
IMP-9061334,2016,Adult,25,My Club Will Pay,Female,AB156YG,AB15,Scotland,UK,48,Aberdeen City,,1,1,,1,,,,,,,,,,,,,,,,,,
IMP-8958393,2016,Adult,25,I Will Pay,Female,AB158HA,AB15,Scotland,UK,37,Robert Gordon University,,1,1,,,1,,,,,,,,2014-2015,,,,,,,,,
IMP-9061604,2016,Adult,25,I Will Pay,Female,AB219PP,AB21,Scotland,UK,39,Aberdeen City,,1,1,,1,,,,,,,,,,,,,,2012-2013,,,,2015-2016
IMP-8916252,2016,Adult,25,I Will Pay,Female,AB228DW,AB22,Scotland,UK,53,Aberdeen City,,1,1,,1,,,,,,,,,,,,,,,,,,
IMP-9046030,2016,Adult,25,I Will Pay,Female,AB238DQ,AB23,Scotland,UK,21,Aberdeen City,,1,1,,1,,,,,,,,,,,,,,,,,,
IMP-8926021,2016,Adult,25,I Will Pay,Female,AB243PG,AB24,Scotland,UK,28,Aberdeen City,,1,1,The School of St Helen and St Katharine,1,,,,,,,,,,,,,,,,,,
IMP-8948745,2016,Adult,25,I Will Pay,Female,AB345NU,AB34,Scotland,UK,25,Aberdeen City,,1,1,,1,,,,,,,,,,,,,,,,,,
IMP-8928089,2016,Adult,25,I Will Pay,Female,AB355XQ,AB35,Scotland,UK,25,Edinburgh Thistle,,1,1,Glenalmond College,1,,,,,,,,,,,,,,,,,,
IMP-8927393,2016,Adult,25,My Club Will Pay,Female,EH111LN,EH11,Scotland,UK,29,Edinburgh Capital,,1,1,,1,,,,,,,,,,,,,,,,,,
IMP-8915241,2016,Adult,25,My Club Will Pay,Female,EH112TP,EH11,Scotland,UK,34,Edinburgh Capital,,1,1,,1,1,1,,1,,,,,2010-2011,,,,,,,,,
IMP-8948772,2016,Adult,25,I Will Pay,Female,EH126DF,EH12,Scotland,UK,25,Edinburgh Thistle,,1,1,,1,,,,,,,,,,,,,,,,,,
IMP-8936861,2016,Adult,25,My Club Will Pay,Female,EH126DQ,EH12,Scotland,UK,25,Edinburgh Capital,,1,1,,1,,,,,,,,,,,,,,,,,,
IMP-8926491,2016,Adult,25,My Club Will Pay,Female,EH130QE,EH13,Scotland,UK,25,Edinburgh Capital,,1,1,,1,,,,,,,,,,,,2015-2016,,,,,,
IMP-8924408,2016,Adult,25,My Club Will Pay,Female,EH13OPU,EH13,Scotland,UK,34,Edinburgh Capital,,1,1,,1,1,,,,,,,,,,,,,,,,,
IMP-8921471,2016,Adult,25,My Club Will Pay,Female,EH152BA,EH15,Scotland,UK,38,Edinburgh Capital,,1,1,,1,1,,,,,,,,,,,,,,,,,2015-2016
IMP-8948295,2016,Adult,25,I Will Pay,Female,EH181NB,EH18,Scotland,UK,25,Edinburgh Thistle,,1,1,,1,,,,,,,,,,,,,,,,,,
IMP-8903881,2016,Adult,25,I Will Pay,Female,EH216EL,EH21,Scotland,UK,24,Edinburgh Thistle,,1,1,,1,,,,,,,,,2015-2016,,,,,,,,,
